13,Purdue University (IN)
14,
15,Purdue University (IN)
16,
17,Purdue University (IN)
18,
19,University of Florida (FL)
20,Massachusetts Institute of Technology (MA)
21,Michigan Technological University (MI)
22,Massachusetts Institute of Technology (MA)
23,College of William and Mary (VA)
24,Purdue University (IN)
25,Michigan Technological University (MI)
26,Purdue University (IN)
27,Tufts University (MA)
28,Thomas Jefferson High School for Science and Technology (VA)
29,Purdue University (IN)
30,
31,Purdue University (IN)
32,University of Illinois-Urbana-Champaign (IL)
33,Rose-Hulman Institute of Technology (IN)
34,
35,Michigan State University (MI)
36,Ohio State University (OH)
37,Purdue University (IN)
38,Purdue University (IN)
39,Ohio State University (OH)
40,
41,Ohio State University (OH)
42,Purdue University (IN)
43,Georgia Institute of Technology (GA)
44,Purdue University (IN)
45,Purdue University (IN)
46,University of Illinois-Urbana-Champaign (IL)
47,Purdue University (IN)
48,Purdue University (IN)
49,
50,Purdue University (IN)
51,Purdue University (IN)
52,Rose-Hulman Institute of Technology (IN)
53,Purdue University (IN)
54,Massachusetts Institute of Technology (MA)
55,Purdue University (IN)
56,University of Wisconsin-Madison (WI)
57,Rose-Hulman Institute of Technology (IN)
58,Clemson University (SC)
59,Ohio State University (OH)
60,University of Cincinnati (OH)
61,Purdue University (IN)
62,Purdue University (IN)
63,
64,SUNY - Stony Brook (NY)
65,The College of New Jersey (NJ)
66,University of Cincinnati (OH)
67,
68,University of Cincinnati (OH)
69,Purdue University (IN)
70,Purdue University (IN)
71,Purdue University (IN)
72,University of Pennsylvania (PA)
73,Purdue University (IN)
74,University of Wisconsin-Madison (WI)
75,Ohio State University (OH)
76,Purdue University College of Technology-Lafayette (IN)
77,Purdue University (IN)
78,
79,Syracuse University (NY)
80,University of Wisconsin-Madison (WI)
81,
82,Purdue University (IN)
83,
84,University of Wisconsin-Madison (WI)
85,
86,
87,Purdue University (IN)
88,Massachusetts Institute of Technology (MA)
89,
90,Rose-Hulman Institute of Technology (IN)
91,University of Cincinnati (OH)
92,Purdue University (IN)
93,Massachusetts Institute of Technology (MA)
94,Purdue University (IN)
95,Purdue University (IN)
96,University of Maryland - College Park (MD)
97,Purdue University (IN)
98,Illinois Institute of Technology (IL)
99,Purdue University (IN)
100,Purdue University (IN)
101,University of Illinois-Urbana-Champaign (IL)
102,University of Virginia (VA)
103,Simon Fraser University (BC)
104,
105,Carnegie Mellon University (PA)
106,Purdue University (IN)
107,Purdue University (IN)
108,University of Illinois-Urbana-Champaign (IL)
109,University of Cincinnati (OH)
110,University of Central Florida (FL)
